IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
185.186.146.244,8080,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,821,2.08
149.104.33.147,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,682,2.07
149.104.33.165,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,909,2.05
154.197.92.85,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,387,2.00
154.197.92.124,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,446,1.96
193.9.46.212,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,777,1.95
149.104.32.13,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,912,1.91
156.251.248.171,47975,TRUE,BKK,TH,Asia Pacific,Bangkok,40065,CNSERVERS,521,1.88
149.104.35.205,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,348,1.83
149.104.32.222,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,910,1.81
149.104.35.108,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,412,1.80
149.104.33.100,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,826,1.79
149.104.33.131,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,792,1.76
149.104.32.221,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,708,1.75
149.104.33.180,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,816,1.73
149.104.33.190,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,817,1.67
154.197.92.89,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,407,1.65
149.104.33.152,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,859,1.65
149.104.33.138,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,839,1.61
149.104.33.161,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,824,1.60
149.104.33.176,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,890,1.57
149.104.35.79,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,584,1.52
43.229.154.103,35588,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,332,1.50
149.104.33.149,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,684,1.42
149.104.33.153,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,848,1.38
91.217.139.227,8443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,726,1.38
149.104.33.113,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,798,1.37
149.104.33.154,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,807,1.36
23.225.39.5,21227,TRUE,PDX,US,North America,Portland,40065,CNSERVERS,769,1.35
149.104.33.116,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,854,1.34
23.225.39.3,21227,TRUE,PDX,US,North America,Portland,40065,CNSERVERS,760,1.34
149.104.33.136,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,744,1.34
23.225.39.4,21227,TRUE,PDX,US,North America,Portland,40065,CNSERVERS,728,1.33
23.225.39.6,21227,TRUE,PDX,US,North America,Portland,40065,CNSERVERS,762,1.33
149.104.35.104,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,411,1.32
149.104.35.72,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,465,1.31
149.104.33.105,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,685,1.22
172.247.244.182,54545,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,701,1.21
149.104.35.202,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,315,1.20
149.104.32.11,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,954,1.18
149.104.32.162,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,906,1.17
149.104.32.166,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,899,1.11
172.247.123.56,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,728,1.07
149.104.33.95,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,895,1.05
172.247.123.120,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,697,0.98
149.104.33.163,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,735,0.95
2.59.151.128,33557,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,1000,0.95
149.104.33.124,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,673,0.94
23.224.250.110,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,812,0.94
172.247.123.29,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,687,0.89
149.104.33.80,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,969,0.85
172.247.15.164,34237,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,705,0.84
